SAPR4;ELET6;VIVT3;MGLU3;;;;;;;;;;;;;;;;
 3,39 ; 17,06 ; 34,84 ; 0,96 ;;;;;;;;;;;;;;;;
 3,38 ; 17,57 ; 34,84 ; 0,99 ;;;;;;;;;;;;;;;;
 3,37 ; 17,72 ; 34,82 ; 1,00 ;;;;;;;;;;;;;;;;
 3,43 ; 17,34 ; 35,44 ; 1,01 ;;;;;;;;;;;;;;;;
 3,48 ; 17,26 ; 35,65 ; 0,97 ;;;;;;;;;;;;;;;;
 3,45 ; 16,47 ; 35,40 ; 0,96 ;;;;;;;;;;;;;;;;
 3,42 ; 16,60 ; 35,40 ; 0,94 ;;;;;;;;;;;;;;;;
 3,41 ; 16,90 ; 34,81 ; 0,92 ;;;;;;;;;;;;;;;;
 3,47 ; 17,79 ; 34,46 ; 0,92 ;;;;;;;;;;;;;;;;
 3,47 ; 17,26 ; 34,60 ; 0,97 ;;;;;;;;;;;;;;;;
 3,47 ; 16,80 ; 34,34 ; 1,00 ;;;;;;;;;;;;;;;;
 3,51 ; 16,52 ; 33,62 ; 0,98 ;;;;;;;;;;;;;;;;
 3,54 ; 16,52 ; 33,52 ; 0,96 ;;;;;;;;;;;;;;;;
 3,56 ; 16,70 ; 33,99 ; 0,99 ;;;;;;;;;;;;;;;;
 3,61 ; 16,60 ; 34,37 ; 1,00 ;;;;;;;;;;;;;;;;
 3,68 ; 16,85 ; 34,60 ; 1,00 ;;;;;;;;;;;;;;;;
 3,68 ; 16,59 ; 34,00 ; 1,00 ;;;;;;;;;;;;;;;;
 3,58 ; 15,89 ; 33,85 ; 0,95 ;;;;;;;;;;;;;;;;
 3,55 ; 15,79 ; 33,59 ; 0,95 ;;;;;;;;;;;;;;;;
 3,58 ; 16,50 ; 33,92 ; 0,93 ;;;;;;;;;;;;;;;;
 3,58 ; 15,94 ; 33,81 ; 0,95 ;;;;;;;;;;;;;;;;
 3,62 ; 16,46 ; 34,46 ; 0,97 ;;;;;;;;;;;;;;;;
 3,58 ; 16,19 ; 34,11 ; 0,95 ;;;;;;;;;;;;;;;;
 3,56 ; 17,00 ; 34,09 ; 0,93 ;;;;;;;;;;;;;;;;
 3,55 ; 16,20 ; 34,27 ; 0,96 ;;;;;;;;;;;;;;;;
 3,63 ; 16,41 ; 34,29 ; 0,99 ;;;;;;;;;;;;;;;;
 3,60 ; 16,45 ; 34,04 ; 1,01 ;;;;;;;;;;;;;;;;
 3,57 ; 16,25 ; 34,04 ; 1,01 ;;;;;;;;;;;;;;;;
 3,62 ; 17,32 ; 34,60 ; 1,01 ;;;;;;;;;;;;;;;;
 3,61 ; 19,13 ; 33,49 ; 1,00 ;;;;;;;;;;;;;;;;
 3,41 ; 18,88 ; 33,03 ; 1,11 ;;;;;;;;;;;;;;;;
 3,49 ; 18,11 ; 32,92 ; 1,15 ;;;;;;;;;;;;;;;;
 3,47 ; 17,68 ; 33,47 ; 1,18 ;;;;;;;;;;;;;;;;
 3,52 ; 18,35 ; 34,41 ; 1,22 ;;;;;;;;;;;;;;;;
 3,54 ; 18,60 ; 34,28 ; 1,17 ;;;;;;;;;;;;;;;;
 3,53 ; 17,65 ; 34,31 ; 1,22 ;;;;;;;;;;;;;;;;
