SAPR4;ELET6;VIVT3;MGLU3;;;;;;;;;;;;;;;;
 5,17 ; 38,90 ; 45,40 ; 7,68 ;;;;;;;;;;;;;;;;
 5,18 ; 38,16 ; 44,96 ; 7,64 ;;;;;;;;;;;;;;;;
 5,20 ; 38,86 ; 44,70 ; 7,88 ;;;;;;;;;;;;;;;;
 5,18 ; 38,87 ; 44,27 ; 8,24 ;;;;;;;;;;;;;;;;
 5,30 ; 39,42 ; 44,20 ; 8,27 ;;;;;;;;;;;;;;;;
 5,31 ; 39,60 ; 45,00 ; 8,24 ;;;;;;;;;;;;;;;;
 5,36 ; 41,85 ; 45,01 ; 8,64 ;;;;;;;;;;;;;;;;
 5,24 ; 42,69 ; 45,59 ; 8,86 ;;;;;;;;;;;;;;;;
 5,27 ; 41,79 ; 44,01 ; 8,63 ;;;;;;;;;;;;;;;;
 5,33 ; 42,00 ; 44,59 ; 9,15 ;;;;;;;;;;;;;;;;
 5,25 ; 40,92 ; 45,24 ; 9,08 ;;;;;;;;;;;;;;;;
 5,24 ; 41,88 ; 45,60 ; 9,29 ;;;;;;;;;;;;;;;;
 5,31 ; 42,87 ; 44,83 ; 9,45 ;;;;;;;;;;;;;;;;
 5,25 ; 41,60 ; 44,99 ; 9,11 ;;;;;;;;;;;;;;;;
 5,22 ; 41,47 ; 44,18 ; 9,46 ;;;;;;;;;;;;;;;;
 5,13 ; 39,67 ; 43,20 ; 9,24 ;;;;;;;;;;;;;;;;
 4,89 ; 39,78 ; 43,30 ; 9,08 ;;;;;;;;;;;;;;;;
 4,86 ; 40,71 ; 43,50 ; 9,39 ;;;;;;;;;;;;;;;;
 4,91 ; 40,42 ; 43,10 ; 9,46 ;;;;;;;;;;;;;;;;
 4,95 ; 40,25 ; 44,73 ; 9,13 ;;;;;;;;;;;;;;;;
 5,13 ; 45,00 ; 45,18 ; 9,14 ;;;;;;;;;;;;;;;;
 5,13 ; 46,81 ; 45,10 ; 8,61 ;;;;;;;;;;;;;;;;
 5,03 ; 46,16 ; 44,78 ; 8,45 ;;;;;;;;;;;;;;;;
 4,87 ; 45,61 ; 43,50 ; 8,43 ;;;;;;;;;;;;;;;;
 5,00 ; 44,05 ; 43,00 ; 8,55 ;;;;;;;;;;;;;;;;
 5,10 ; 45,06 ; 44,40 ; 8,73 ;;;;;;;;;;;;;;;;
 5,27 ; 46,20 ; 44,20 ; 9,32 ;;;;;;;;;;;;;;;;
 5,83 ; 46,95 ; 45,97 ; 9,07 ;;;;;;;;;;;;;;;;
 5,63 ; 47,27 ; 45,60 ; 9,15 ;;;;;;;;;;;;;;;;
 5,57 ; 46,46 ; 45,55 ; 8,97 ;;;;;;;;;;;;;;;;
 5,68 ; 46,88 ; 46,19 ; 9,30 ;;;;;;;;;;;;;;;;
 5,75 ; 47,20 ; 46,69 ; 9,18 ;;;;;;;;;;;;;;;;
 5,67 ; 46,24 ; 46,23 ; 9,00 ;;;;;;;;;;;;;;;;
 5,54 ; 46,33 ; 44,99 ; 8,55 ;;;;;;;;;;;;;;;;
 5,53 ; 46,15 ; 44,65 ; 8,13 ;;;;;;;;;;;;;;;;
 5,68 ; 47,07 ; 44,46 ; 8,65 ;;;;;;;;;;;;;;;;
 5,58 ; 46,44 ; 44,32 ; 8,75 ;;;;;;;;;;;;;;;;
 5,60 ; 44,99 ; 43,26 ; 8,53 ;;;;;;;;;;;;;;;;
 5,54 ; 45,42 ; 43,80 ; 8,72 ;;;;;;;;;;;;;;;;
 5,55 ; 45,91 ; 43,92 ; 8,71 ;;;;;;;;;;;;;;;;
 5,62 ; 45,35 ; 43,96 ; 8,77 ;;;;;;;;;;;;;;;;
 5,63 ; 44,72 ; 44,41 ; 8,95 ;;;;;;;;;;;;;;;;
 5,60 ; 42,31 ; 44,74 ; 9,14 ;;;;;;;;;;;;;;;;
 5,50 ; 42,65 ; 44,41 ; 9,00 ;;;;;;;;;;;;;;;;
 5,51 ; 41,80 ; 43,85 ; 9,19 ;;;;;;;;;;;;;;;;
 5,45 ; 41,68 ; 43,51 ; 9,18 ;;;;;;;;;;;;;;;;
 5,43 ; 42,00 ; 44,42 ; 9,14 ;;;;;;;;;;;;;;;;
 5,40 ; 42,15 ; 44,80 ; 9,20 ;;;;;;;;;;;;;;;;
 5,48 ; 42,02 ; 44,72 ; 9,26 ;;;;;;;;;;;;;;;;
 5,57 ; 41,46 ; 44,55 ; 9,36 ;;;;;;;;;;;;;;;;
 5,48 ; 40,10 ; 43,44 ; 9,13 ;;;;;;;;;;;;;;;;
 5,50 ; 40,50 ; 43,75 ; 9,33 ;;;;;;;;;;;;;;;;
 5,54 ; 40,99 ; 44,00 ; 9,70 ;;;;;;;;;;;;;;;;
 5,40 ; 38,28 ; 43,97 ; 9,60 ;;;;;;;;;;;;;;;;
 5,39 ; 37,79 ; 43,76 ; 9,50 ;;;;;;;;;;;;;;;;
 5,60 ; 37,87 ; 44,10 ; 9,91 ;;;;;;;;;;;;;;;;
 5,54 ; 37,49 ; 44,90 ; 9,74 ;;;;;;;;;;;;;;;;
 5,58 ; 36,74 ; 45,12 ; 10,13 ;;;;;;;;;;;;;;;;
 5,64 ; 36,10 ; 45,05 ; 10,54 ;;;;;;;;;;;;;;;;
 5,51 ; 36,44 ; 45,10 ; 10,45 ;;;;;;;;;;;;;;;;
 5,65 ; 37,90 ; 45,35 ; 10,69 ;;;;;;;;;;;;;;;;
 5,79 ; 37,70 ; 45,41 ; 10,79 ;;;;;;;;;;;;;;;;
 5,89 ; 38,97 ; 46,80 ; 10,75 ;;;;;;;;;;;;;;;;
 5,87 ; 39,09 ; 45,97 ; 10,78 ;;;;;;;;;;;;;;;;
 5,82 ; 38,94 ; 45,10 ; 10,93 ;;;;;;;;;;;;;;;;
 5,98 ; 39,11 ; 45,00 ; 10,87 ;;;;;;;;;;;;;;;;
 6,00 ; 39,16 ; 45,15 ; 10,81 ;;;;;;;;;;;;;;;;
 5,95 ; 39,28 ; 44,22 ; 10,50 ;;;;;;;;;;;;;;;;
 5,98 ; 39,83 ; 44,36 ; 10,67 ;;;;;;;;;;;;;;;;
 5,96 ; 39,57 ; 44,55 ; 10,29 ;;;;;;;;;;;;;;;;
 6,01 ; 40,60 ; 44,55 ; 11,01 ;;;;;;;;;;;;;;;;
 6,05 ; 40,99 ; 44,50 ; 11,16 ;;;;;;;;;;;;;;;;
 6,13 ; 41,11 ; 44,26 ; 11,80 ;;;;;;;;;;;;;;;;
 6,02 ; 41,08 ; 45,20 ; 11,24 ;;;;;;;;;;;;;;;;
 5,93 ; 40,90 ; 44,70 ; 11,01 ;;;;;;;;;;;;;;;;
 6,08 ; 41,32 ; 45,30 ; 11,30 ;;;;;;;;;;;;;;;;
 6,03 ; 41,04 ; 44,76 ; 11,05 ;;;;;;;;;;;;;;;;
 5,97 ; 39,55 ; 45,00 ; 10,95 ;;;;;;;;;;;;;;;;
 5,93 ; 39,71 ; 45,26 ; 11,26 ;;;;;;;;;;;;;;;;
 6,01 ; 38,33 ; 44,93 ; 10,85 ;;;;;;;;;;;;;;;;
 6,00 ; 37,37 ; 44,86 ; 10,63 ;;;;;;;;;;;;;;;;
 6,12 ; 37,23 ; 45,84 ; 11,06 ;;;;;;;;;;;;;;;;
 6,03 ; 36,52 ; 46,80 ; 11,25 ;;;;;;;;;;;;;;;;
 6,06 ; 35,80 ; 45,66 ; 11,13 ;;;;;;;;;;;;;;;;
 6,11 ; 36,07 ; 45,65 ; 11,25 ;;;;;;;;;;;;;;;;
 6,19 ; 36,34 ; 45,50 ; 11,37 ;;;;;;;;;;;;;;;;
 6,18 ; 35,95 ; 45,40 ; 11,08 ;;;;;;;;;;;;;;;;
 6,00 ; 35,50 ; 44,38 ; 10,76 ;;;;;;;;;;;;;;;;
 6,00 ; 35,31 ; 45,65 ; 11,40 ;;;;;;;;;;;;;;;;
 6,19 ; 35,78 ; 46,00 ; 11,40 ;;;;;;;;;;;;;;;;
 6,17 ; 35,93 ; 46,30 ; 11,26 ;;;;;;;;;;;;;;;;
 6,16 ; 35,97 ; 46,00 ; 11,23 ;;;;;;;;;;;;;;;;
 6,14 ; 36,41 ; 46,99 ; 11,15 ;;;;;;;;;;;;;;;;
 6,20 ; 36,61 ; 47,50 ; 11,02 ;;;;;;;;;;;;;;;;
 6,22 ; 36,70 ; 46,61 ; 11,22 ;;;;;;;;;;;;;;;;
 6,22 ; 37,19 ; 47,00 ; 11,35 ;;;;;;;;;;;;;;;;
 6,32 ; 37,20 ; 47,47 ; 11,46 ;;;;;;;;;;;;;;;;
 6,33 ; 37,01 ; 47,23 ; 11,65 ;;;;;;;;;;;;;;;;
 6,51 ; 37,00 ; 47,49 ; 11,90 ;;;;;;;;;;;;;;;;
 6,41 ; 37,03 ; 46,69 ; 11,96 ;;;;;;;;;;;;;;;;
 6,50 ; 37,29 ; 47,50 ; 12,27 ;;;;;;;;;;;;;;;;
 6,68 ; 37,85 ; 47,33 ; 12,33 ;;;;;;;;;;;;;;;;
 6,53 ; 37,66 ; 47,39 ; 11,97 ;;;;;;;;;;;;;;;;
 6,57 ; 36,55 ; 47,73 ; 12,13 ;;;;;;;;;;;;;;;;
 6,55 ; 37,10 ; 47,85 ; 12,16 ;;;;;;;;;;;;;;;;
 6,47 ; 37,23 ; 48,85 ; 12,15 ;;;;;;;;;;;;;;;;
 6,67 ; 38,51 ; 49,00 ; 12,19 ;;;;;;;;;;;;;;;;
 6,88 ; 38,64 ; 49,89 ; 12,27 ;;;;;;;;;;;;;;;;
 6,97 ; 38,10 ; 49,33 ; 12,18 ;;;;;;;;;;;;;;;;
 7,03 ; 38,24 ; 49,04 ; 11,93 ;;;;;;;;;;;;;;;;
 6,82 ; 38,71 ; 48,24 ; 12,33 ;;;;;;;;;;;;;;;;
 6,33 ; 38,55 ; 48,80 ; 12,22 ;;;;;;;;;;;;;;;;
 6,34 ; 38,61 ; 48,33 ; 12,23 ;;;;;;;;;;;;;;;;
 6,49 ; 39,20 ; 49,40 ; 12,20 ;;;;;;;;;;;;;;;;
 6,49 ; 39,53 ; 49,90 ; 12,57 ;;;;;;;;;;;;;;;;
 6,47 ; 40,11 ; 49,06 ; 13,02 ;;;;;;;;;;;;;;;;
 6,50 ; 40,65 ; 50,28 ; 12,95 ;;;;;;;;;;;;;;;;
 6,60 ; 40,79 ; 51,80 ; 13,56 ;;;;;;;;;;;;;;;;
 6,55 ; 40,15 ; 52,94 ; 13,50 ;;;;;;;;;;;;;;;;
 6,50 ; 40,02 ; 52,99 ; 13,42 ;;;;;;;;;;;;;;;;
 6,55 ; 40,86 ; 53,99 ; 13,37 ;;;;;;;;;;;;;;;;
 6,56 ; 41,17 ; 53,00 ; 13,59 ;;;;;;;;;;;;;;;;
 6,52 ; 41,13 ; 53,00 ; 14,00 ;;;;;;;;;;;;;;;;
 6,52 ; 40,68 ; 54,88 ; 13,98 ;;;;;;;;;;;;;;;;
 6,64 ; 42,42 ; 53,50 ; 13,92 ;;;;;;;;;;;;;;;;
 6,76 ; 42,51 ; 53,78 ; 14,15 ;;;;;;;;;;;;;;;;
 6,82 ; 42,38 ; 54,30 ; 14,04 ;;;;;;;;;;;;;;;;
 6,67 ; 41,22 ; 53,60 ; 13,45 ;;;;;;;;;;;;;;;;
 6,84 ; 42,66 ; 53,94 ; 14,25 ;;;;;;;;;;;;;;;;
 6,71 ; 42,53 ; 54,54 ; 14,32 ;;;;;;;;;;;;;;;;
 6,66 ; 41,40 ; 52,79 ; 14,13 ;;;;;;;;;;;;;;;;
 6,64 ; 40,87 ; 52,37 ; 13,95 ;;;;;;;;;;;;;;;;
 6,70 ; 40,23 ; 53,06 ; 14,13 ;;;;;;;;;;;;;;;;
 6,67 ; 40,63 ; 52,76 ; 14,42 ;;;;;;;;;;;;;;;;
 6,97 ; 40,28 ; 52,42 ; 14,33 ;;;;;;;;;;;;;;;;
 6,85 ; 39,26 ; 52,58 ; 13,96 ;;;;;;;;;;;;;;;;
 6,77 ; 38,37 ; 51,90 ; 13,56 ;;;;;;;;;;;;;;;;
 6,68 ; 37,32 ; 51,98 ; 13,10 ;;;;;;;;;;;;;;;;
 6,88 ; 37,61 ; 52,90 ; 13,57 ;;;;;;;;;;;;;;;;
 7,00 ; 38,05 ; 53,00 ; 13,99 ;;;;;;;;;;;;;;;;
 7,22 ; 37,90 ; 54,16 ; 14,26 ;;;;;;;;;;;;;;;;
 7,23 ; 38,38 ; 52,86 ; 14,08 ;;;;;;;;;;;;;;;;
 7,24 ; 38,63 ; 53,02 ; 14,71 ;;;;;;;;;;;;;;;;
 7,20 ; 40,65 ; 51,58 ; 14,56 ;;;;;;;;;;;;;;;;
 7,34 ; 41,14 ; 51,87 ; 14,47 ;;;;;;;;;;;;;;;;
 7,27 ; 40,37 ; 51,16 ; 14,14 ;;;;;;;;;;;;;;;;
 7,33 ; 39,73 ; 52,59 ; 14,11 ;;;;;;;;;;;;;;;;
 6,97 ; 36,99 ; 50,50 ; 13,22 ;;;;;;;;;;;;;;;;
 6,74 ; 35,60 ; 48,06 ; 12,56 ;;;;;;;;;;;;;;;;
 6,60 ; 35,85 ; 48,60 ; 12,63 ;;;;;;;;;;;;;;;;
 6,98 ; 35,91 ; 51,40 ; 13,14 ;;;;;;;;;;;;;;;;
 7,02 ; 35,72 ; 51,90 ; 13,21 ;;;;;;;;;;;;;;;;
 7,35 ; 36,45 ; 53,67 ; 13,11 ;;;;;;;;;;;;;;;;
 7,16 ; 36,05 ; 52,19 ; 11,95 ;;;;;;;;;;;;;;;;
 6,73 ; 34,40 ; 51,14 ; 11,33 ;;;;;;;;;;;;;;;;
 6,25 ; 29,83 ; 47,64 ; 10,09 ;;;;;;;;;;;;;;;;
 6,61 ; 32,39 ; 53,51 ; 11,75 ;;;;;;;;;;;;;;;;
 6,30 ; 30,84 ; 52,50 ; 10,77 ;;;;;;;;;;;;;;;;
 5,59 ; 24,88 ; 48,90 ; 8,50 ;;;;;;;;;;;;;;;;
 6,03 ; 28,92 ; 52,01 ; 10,50 ;;;;;;;;;;;;;;;;
 5,46 ; 24,59 ; 48,73 ; 8,52 ;;;;;;;;;;;;;;;;
 5,60 ; 25,46 ; 53,68 ; 8,89 ;;;;;;;;;;;;;;;;
 4,83 ; 21,36 ; 52,99 ; 7,20 ;;;;;;;;;;;;;;;;
 5,08 ; 19,41 ; 56,74 ; 7,64 ;;;;;;;;;;;;;;;;
 4,76 ; 18,91 ; 50,52 ; 7,66 ;;;;;;;;;;;;;;;;
 3,98 ; 18,48 ; 46,58 ; 7,55 ;;;;;;;;;;;;;;;;
 4,03 ; 20,49 ; 46,61 ; 9,17 ;;;;;;;;;;;;;;;;
 4,27 ; 23,95 ; 47,09 ; 10,00 ;;;;;;;;;;;;;;;;
 4,93 ; 25,31 ; 48,97 ; 10,28 ;;;;;;;;;;;;;;;;
 4,77 ; 24,81 ; 48,08 ; 9,75 ;;;;;;;;;;;;;;;;
 4,94 ; 26,44 ; 49,00 ; 10,40 ;;;;;;;;;;;;;;;;
 4,81 ; 26,03 ; 50,60 ; 9,75 ;;;;;;;;;;;;;;;;
 4,65 ; 24,94 ; 50,10 ; 9,37 ;;;;;;;;;;;;;;;;
 4,46 ; 25,24 ; 50,60 ; 8,97 ;;;;;;;;;;;;;;;;
 4,15 ; 24,95 ; 49,91 ; 8,89 ;;;;;;;;;;;;;;;;
 4,41 ; 24,85 ; 52,14 ; 9,55 ;;;;;;;;;;;;;;;;
 4,69 ; 25,62 ; 51,80 ; 10,02 ;;;;;;;;;;;;;;;;
 4,88 ; 26,95 ; 51,90 ; 10,49 ;;;;;;;;;;;;;;;;
 4,90 ; 28,34 ; 50,86 ; 10,41 ;;;;;;;;;;;;;;;;
 4,94 ; 29,19 ; 51,99 ; 10,48 ;;;;;;;;;;;;;;;;
 5,07 ; 30,19 ; 51,16 ; 10,73 ;;;;;;;;;;;;;;;;
 4,95 ; 29,96 ; 51,20 ; 10,96 ;;;;;;;;;;;;;;;;
 4,86 ; 29,08 ; 49,40 ; 11,39 ;;;;;;;;;;;;;;;;
 4,82 ; 29,34 ; 48,29 ; 11,15 ;;;;;;;;;;;;;;;;
 4,79 ; 29,21 ; 48,21 ; 12,12 ;;;;;;;;;;;;;;;;
 5,07 ; 29,97 ; 49,20 ; 12,64 ;;;;;;;;;;;;;;;;
 4,97 ; 28,71 ; 49,28 ; 12,37 ;;;;;;;;;;;;;;;;
 4,62 ; 24,93 ; 46,39 ; 11,85 ;;;;;;;;;;;;;;;;
 4,87 ; 25,79 ; 47,49 ; 12,38 ;;;;;;;;;;;;;;;;
 4,94 ; 27,32 ; 47,00 ; 12,95 ;;;;;;;;;;;;;;;;
 5,25 ; 27,74 ; 46,73 ; 12,66 ;;;;;;;;;;;;;;;;
 4,98 ; 27,84 ; 46,40 ; 12,43 ;;;;;;;;;;;;;;;;
 4,95 ; 26,30 ; 48,86 ; 12,86 ;;;;;;;;;;;;;;;;
 4,92 ; 26,20 ; 49,80 ; 12,55 ;;;;;;;;;;;;;;;;
 4,93 ; 25,86 ; 49,60 ; 13,79 ;;;;;;;;;;;;;;;;
 4,76 ; 24,33 ; 43,47 ; 14,20 ;;;;;;;;;;;;;;;;
 4,82 ; 25,40 ; 48,44 ; 13,89 ;;;;;;;;;;;;;;;;
 4,68 ; 24,70 ; 47,28 ; 13,74 ;;;;;;;;;;;;;;;;
 4,46 ; 23,25 ; 46,63 ; 13,70 ;;;;;;;;;;;;;;;;
 4,40 ; 23,35 ; 47,20 ; 13,78 ;;;;;;;;;;;;;;;;
 4,37 ; 25,17 ; 47,48 ; 13,88 ;;;;;;;;;;;;;;;;
 4,56 ; 25,22 ; 46,10 ; 13,78 ;;;;;;;;;;;;;;;;
 4,68 ; 26,57 ; 47,67 ; 13,94 ;;;;;;;;;;;;;;;;
 4,67 ; 25,92 ; 46,50 ; 14,65 ;;;;;;;;;;;;;;;;
 4,73 ; 26,02 ; 47,09 ; 14,23 ;;;;;;;;;;;;;;;;
 4,84 ; 26,46 ; 47,22 ; 14,57 ;;;;;;;;;;;;;;;;
 4,91 ; 27,82 ; 47,40 ; 14,41 ;;;;;;;;;;;;;;;;
 5,15 ; 29,74 ; 48,27 ; 15,10 ;;;;;;;;;;;;;;;;
 5,11 ; 29,89 ; 48,68 ; 16,12 ;;;;;;;;;;;;;;;;
 5,33 ; 30,98 ; 48,57 ; 16,84 ;;;;;;;;;;;;;;;;
 5,37 ; 30,83 ; 48,04 ; 16,31 ;;;;;;;;;;;;;;;;
 5,32 ; 30,70 ; 46,82 ; 16,09 ;;;;;;;;;;;;;;;;
 5,48 ; 30,77 ; 47,66 ; 15,93 ;;;;;;;;;;;;;;;;
 5,73 ; 31,24 ; 48,18 ; 15,45 ;;;;;;;;;;;;;;;;
 5,88 ; 31,36 ; 47,00 ; 15,60 ;;;;;;;;;;;;;;;;
 5,77 ; 31,15 ; 47,39 ; 15,12 ;;;;;;;;;;;;;;;;
 5,70 ; 31,31 ; 47,93 ; 14,86 ;;;;;;;;;;;;;;;;
 6,02 ; 32,77 ; 48,83 ; 15,60 ;;;;;;;;;;;;;;;;
 6,00 ; 33,21 ; 48,80 ; 15,60 ;;;;;;;;;;;;;;;;
 5,90 ; 31,44 ; 49,71 ; 16,15 ;;;;;;;;;;;;;;;;
 5,98 ; 31,43 ; 49,95 ; 15,99 ;;;;;;;;;;;;;;;;
 5,96 ; 30,45 ; 48,40 ; 16,46 ;;;;;;;;;;;;;;;;
 5,92 ; 30,75 ; 49,26 ; 16,50 ;;;;;;;;;;;;;;;;
 6,25 ; 32,80 ; 49,53 ; 16,80 ;;;;;;;;;;;;;;;;
 6,26 ; 32,18 ; 50,49 ; 17,43 ;;;;;;;;;;;;;;;;
 6,50 ; 31,60 ; 50,95 ; 17,85 ;;;;;;;;;;;;;;;;
 6,53 ; 31,87 ; 49,79 ; 17,73 ;;;;;;;;;;;;;;;;
 6,49 ; 31,69 ; 49,24 ; 17,56 ;;;;;;;;;;;;;;;;
 6,39 ; 30,80 ; 48,64 ; 17,45 ;;;;;;;;;;;;;;;;
 6,26 ; 31,95 ; 49,56 ; 17,42 ;;;;;;;;;;;;;;;;
 6,03 ; 31,41 ; 48,66 ; 17,34 ;;;;;;;;;;;;;;;;
 6,23 ; 31,91 ; 48,18 ; 17,60 ;;;;;;;;;;;;;;;;
 6,28 ; 32,24 ; 48,40 ; 17,91 ;;;;;;;;;;;;;;;;
 6,23 ; 33,65 ; 47,90 ; 18,08 ;;;;;;;;;;;;;;;;
 6,14 ; 33,42 ; 48,14 ; 17,53 ;;;;;;;;;;;;;;;;
 6,29 ; 33,95 ; 48,92 ; 18,00 ;;;;;;;;;;;;;;;;
 6,26 ; 33,76 ; 48,77 ; 18,00 ;;;;;;;;;;;;;;;;
 6,14 ; 34,19 ; 48,49 ; 18,68 ;;;;;;;;;;;;;;;;
 6,22 ; 34,60 ; 48,80 ; 19,18 ;;;;;;;;;;;;;;;;
 6,25 ; 37,85 ; 49,88 ; 19,85 ;;;;;;;;;;;;;;;;
 6,21 ; 37,09 ; 48,99 ; 20,05 ;;;;;;;;;;;;;;;;
 6,10 ; 36,23 ; 48,36 ; 20,13 ;;;;;;;;;;;;;;;;
 6,11 ; 36,13 ; 47,90 ; 20,13 ;;;;;;;;;;;;;;;;
 6,44 ; 37,60 ; 48,70 ; 20,38 ;;;;;;;;;;;;;;;;
 6,26 ; 36,49 ; 49,90 ; 20,05 ;;;;;;;;;;;;;;;;
 6,33 ; 40,81 ; 50,54 ; 20,50 ;;;;;;;;;;;;;;;;
 6,28 ; 40,40 ; 53,39 ; 21,75 ;;;;;;;;;;;;;;;;
 6,08 ; 39,33 ; 52,70 ; 21,08 ;;;;;;;;;;;;;;;;
 6,20 ; 39,69 ; 51,57 ; 21,16 ;;;;;;;;;;;;;;;;
 6,06 ; 39,24 ; 49,77 ; 20,10 ;;;;;;;;;;;;;;;;
 6,05 ; 39,05 ; 49,40 ; 19,92 ;;;;;;;;;;;;;;;;
 5,99 ; 39,78 ; 50,80 ; 19,84 ;;;;;;;;;;;;;;;;
 5,91 ; 39,66 ; 51,00 ; 20,10 ;;;;;;;;;;;;;;;;
 5,95 ; 40,58 ; 50,50 ; 20,05 ;;;;;;;;;;;;;;;;
 6,08 ; 39,19 ; 51,30 ; 20,82 ;;;;;;;;;;;;;;;;
 6,06 ; 38,45 ; 52,56 ; 20,18 ;;;;;;;;;;;;;;;;
 6,05 ; 38,50 ; 51,40 ; 20,64 ;;;;;;;;;;;;;;;;
 5,88 ; 38,29 ; 50,63 ; 20,63 ;;;;;;;;;;;;;;;;
 5,84 ; 38,22 ; 50,05 ; 20,75 ;;;;;;;;;;;;;;;;
 5,93 ; 39,45 ; 51,32 ; 21,48 ;;;;;;;;;;;;;;;;
 6,00 ; 39,28 ; 50,70 ; 21,41 ;;;;;;;;;;;;;;;;
 5,89 ; 38,98 ; 51,91 ; 20,48 ;;;;;;;;;;;;;;;;
 5,89 ; 38,44 ; 50,99 ; 20,25 ;;;;;;;;;;;;;;;;
 5,80 ; 37,15 ; 49,50 ; 20,02 ;;;;;;;;;;;;;;;;
 5,59 ; 35,15 ; 49,48 ; 20,11 ;;;;;;;;;;;;;;;;
 5,64 ; 35,64 ; 50,25 ; 20,44 ;;;;;;;;;;;;;;;;
 5,46 ; 33,80 ; 49,19 ; 20,41 ;;;;;;;;;;;;;;;;
 5,53 ; 34,37 ; 50,00 ; 22,38 ;;;;;;;;;;;;;;;;
 5,38 ; 33,16 ; 49,57 ; 22,43 ;;;;;;;;;;;;;;;;
 5,35 ; 32,90 ; 49,79 ; 21,84 ;;;;;;;;;;;;;;;;
 5,40 ; 34,53 ; 49,42 ; 21,84 ;;;;;;;;;;;;;;;;
 5,36 ; 37,30 ; 50,00 ; 21,77 ;;;;;;;;;;;;;;;;
 5,68 ; 38,46 ; 50,00 ; 22,00 ;;;;;;;;;;;;;;;;
 5,59 ; 36,92 ; 49,30 ; 22,54 ;;;;;;;;;;;;;;;;
 5,27 ; 36,53 ; 49,28 ; 23,00 ;;;;;;;;;;;;;;;;
 5,43 ; 37,56 ; 49,69 ; 23,65 ;;;;;;;;;;;;;;;;
 5,29 ; 35,89 ; 48,50 ; 23,31 ;;;;;;;;;;;;;;;;
 5,33 ; 36,89 ; 49,18 ; 23,83 ;;;;;;;;;;;;;;;;
 5,45 ; 37,86 ; 48,60 ; 23,38 ;;;;;;;;;;;;;;;;
 5,44 ; 37,49 ; 48,85 ; 22,13 ;;;;;;;;;;;;;;;;
 5,45 ; 37,14 ; 48,98 ; 22,19 ;;;;;;;;;;;;;;;;
 5,61 ; 37,05 ; 49,20 ; 21,92 ;;;;;;;;;;;;;;;;
 5,67 ; 36,82 ; 50,50 ; 22,80 ;;;;;;;;;;;;;;;;
 5,48 ; 35,97 ; 48,40 ; 22,06 ;;;;;;;;;;;;;;;;
 5,36 ; 35,59 ; 47,99 ; 21,89 ;;;;;;;;;;;;;;;;
 5,41 ; 35,42 ; 48,00 ; 22,58 ;;;;;;;;;;;;;;;;
 5,38 ; 34,56 ; 48,00 ; 22,40 ;;;;;;;;;;;;;;;;
 5,37 ; 34,35 ; 47,37 ; 22,29 ;;;;;;;;;;;;;;;;
 5,34 ; 34,43 ; 47,50 ; 21,78 ;;;;;;;;;;;;;;;;
 5,33 ; 33,50 ; 47,09 ; 21,79 ;;;;;;;;;;;;;;;;
 5,35 ; 33,75 ; 46,70 ; 22,18 ;;;;;;;;;;;;;;;;
 5,37 ; 33,81 ; 46,69 ; 22,37 ;;;;;;;;;;;;;;;;
 5,35 ; 32,87 ; 45,90 ; 21,62 ;;;;;;;;;;;;;;;;
 5,34 ; 32,92 ; 45,99 ; 22,33 ;;;;;;;;;;;;;;;;
 5,27 ; 32,75 ; 45,70 ; 22,66 ;;;;;;;;;;;;;;;;
 5,16 ; 31,54 ; 44,60 ; 21,87 ;;;;;;;;;;;;;;;;
 5,15 ; 31,33 ; 44,20 ; 21,87 ;;;;;;;;;;;;;;;;
 5,09 ; 31,19 ; 44,11 ; 22,30 ;;;;;;;;;;;;;;;;
 5,12 ; 31,02 ; 44,00 ; 22,98 ;;;;;;;;;;;;;;;;
 5,06 ; 30,33 ; 43,71 ; 22,01 ;;;;;;;;;;;;;;;;
 5,07 ; 31,55 ; 43,50 ; 22,54 ;;;;;;;;;;;;;;;;
 5,09 ; 31,67 ; 44,13 ; 22,33 ;;;;;;;;;;;;;;;;
 5,15 ; 31,40 ; 43,55 ; 22,24 ;;;;;;;;;;;;;;;;
 5,14 ; 31,16 ; 44,71 ; 22,97 ;;;;;;;;;;;;;;;;
 5,16 ; 30,79 ; 44,35 ; 24,54 ;;;;;;;;;;;;;;;;
 5,33 ; 31,50 ; 44,48 ; 26,00 ;;;;;;;;;;;;;;;;
 5,36 ; 31,66 ; 44,30 ; 25,59 ;;;;;;;;;;;;;;;;
 5,26 ; 32,08 ; 44,40 ; 25,51 ;;;;;;;;;;;;;;;;
 5,21 ; 32,31 ; 43,51 ; 25,80 ;;;;;;;;;;;;;;;;
 5,14 ; 32,16 ; 43,16 ; 25,69 ;;;;;;;;;;;;;;;;
 5,13 ; 32,59 ; 43,20 ; 26,04 ;;;;;;;;;;;;;;;;
 5,12 ; 33,00 ; 43,13 ; 26,22 ;;;;;;;;;;;;;;;;
 5,13 ; 33,37 ; 43,80 ; 26,10 ;;;;;;;;;;;;;;;;
 5,13 ; 33,34 ; 44,42 ; 25,92 ;;;;;;;;;;;;;;;;
 5,19 ; 33,75 ; 44,33 ; 25,47 ;;;;;;;;;;;;;;;;
 5,15 ; 33,15 ; 43,48 ; 25,45 ;;;;;;;;;;;;;;;;
 4,93 ; 31,88 ; 42,61 ; 24,63 ;;;;;;;;;;;;;;;;
